텍스트,분류 1차,분류 2차,keyword,code,자동 생성 제목
"
#{발신 스페이스} 인증 번호 안내해 드립니다.

아래 인증 번호를 입력해주세요.

▶ 인증 번호 : #{인증 번호}",회원,인증/비밀번호/로그인,"본인확인,본인인증,인증,인증번호,비밀번호",IBWINGO3940_1656221606280,인증 번호 알림
"
안녕하세요 #{수신자명}님,
회원 탈퇴 처리가 완료되었습니다.

▶ 아이디 : #{아이디}

그동안 이용해주셔서 감사합니다.",회원,인증/비밀번호/로그인,"회원탈퇴,탈퇴,탈퇴완료,계정,계정삭제",IBWINGO3940_1656221640359,회원 탈퇴 안내
"
안녕하세요 #{수신자명}님,
#{수신자명}님께서 제품을 구매하시면서 신청하신 혜택이 도착했습니다!
혜택을 확인하시고 이용해보세요.

▶ 아이디 : #{아이디}
▶ 혜택 : #{혜택}
▶ 사용기한 : #{사용기한}

※ 이 메시지는 고객님의 혜택 신청에 의해 발송되는 혜택 안내 메시지입니다.",회원,회원정보/회원혜택,"회원,회원혜택,혜택,혜택안내",IBWINGO3940_1656305210642,혜택 안내
"
비밀번호가 변경되었습니다.

▶ 아이디 : #{아이디}

본인이 아닌 경우, 고객센터에 연락 부탁드립니다.

▶ 고객센터 : #{고객센터}",회원,인증/비밀번호/로그인,"비밀번호,비밀번호변경,아이디,회원정보,인증,로그인,계정,본인인증",IBWINGO3940_1656221736737,비밀번호 변경 안내
"
안녕하세요 #{수신자명} 고객님.
지금 변경된 등급을 확인하고, #{발신 스페이스}의 주요 혜택 확인해보세요!

▶ #{월}월 회원 등급 : #{회원 등급}

등급별로 다양한 회원 혜택을 확인해 보세요.

※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",회원,회원정보/회원혜택,"회원정보,회원등급,등급,등급변경,회원혜택,혜택,고객,회원,등업",IBWINGO3940_1656221772934,등급 안내
"
안녕하세요 #{수신자명} 고객님,
고객님의 #{발신 스페이스}월 등급이 상향되었습니다.

▶ #{발신 스페이스} 등급 : #{등급}

지금 바로 등급 혜택을 확인해 보세요!

고객센터 : #{고객센터}

※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",회원,회원정보/회원혜택,"회원정보,회원등급,등급,회원혜택,혜택,혜택안내,고객,등업,회원",IBWINGO3940_1656221800097,등급 혜택 안내
"
안녕하세요. #{수신자명} 고객님.
가입을 감사드리며, 이용 안내해 드립니다.

▶ 아이디 : #{아이디}
▶ 이용 시간 : #{이용 시간}
▶ 문의 시간 : #{문의 시간}

상세한 내용은 홈페이지에서 확인해주세요.
감사합니다.",회원,회원가입,"회원가입,가입,회원,가입안내,가입인사,매장정보,매장,안내",IBWINGO3940_1656223782723,가입 알림
"임시 비밀번호는 #{발신 스페이스}입니다.
로그인 후, 사용하실 비밀번호로 변경해주세요.

※ 비밀번호를 변경하지 않으실 경우 개인정보에 위험이 있습니다.",회원,인증/비밀번호/로그인,"계정,아이디,비밀번호,회원정보,회원,임시,로그인,이증,계정안내",IBWINGO3940_1656224302568,임시 비빌번호 발급 안내
"
#{수신자명}님, 환영합니다!
회원가입이 완료되었습니다.

신규 가입 시,
지급되는 쿠폰 내역을 알려드립니다.

▶쿠폰명: #{쿠폰명}
▶유효기간: #{유효기간}
※유의사항: 쿠폰 사용 방법을 반드시 확인해 주세요.

회원가입을 해주셔서 감사합니다.
많은 이용 부탁드립니다.

※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원가입,"가입,회원가입,회원혜택,쿠폰,쿠폰안내",IBWINGO3940_1656054052940,회원 가입 감사 메시지
"
안녕하세요.
저희 #{발신 스페이스}의 회원이 되주셔서 감사합니다.

더욱 새로워진 #{발신 스페이스}을 만나보세요!
이번 년도에서 최고의 서비스로 보답하겠습니다.",회원,회원가입,"회원가입,가입,회원,가입안내,계정,로그인,회원가입안내",IBWINGO3940_1655797826441,회원 가입 안내
"
안녕하세요. #{수신자명} 고객님.
가입을 축하드리며 영업시간 및 매장 정보 안내드립니다.

▶ 영업 시간: #{영업 시간}
▶ 매장 정보: #{매장 정보}
▶ 문의 전화: #{문의 전화}

상세내용은 아래 '홈페이지 바로가기'를 이용해 주시기 바랍니다.
감사합니다.",회원,회원가입,"회원가입,가입,회원,가입안내,가입인사,매장정보,매장,안내",IBWINGO3940_1655973165688,가입 알림
"
안녕하세요. #{수신자명} 고객님.
회원가입과 함께 즉시 사용 가능한
#{쿠폰명} 쿠폰이 발급되었습니다.

오직 #{발신 스페이스}에서만 만날 수 있는 제품들을 확인해보세요.

감사합니다.

▶ 쿠폰명 : #{쿠폰명}
▶ 유효기간 : #{유효기간}

※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원가입,"회원가입,가입,회원,가입안내,가입인사,적립금,가입혜택,혜택",IBWINGO3940_1655797963400,회원 가입 안내
"
안녕하세요 #{발신 스페이스}입니다.

회원가입 및 SNS수신동의에 감사드립니다.

아래 ""홈페이지 바로가기""버튼을 누르시고 편리하게 이용하시기 바랍니다.
감사합니다.

※ 수신거부 요청시 고객센터로 연락바랍니다.

※ 고객센터 : #{고객센터}",회원,회원가입,"회원가입,가입,회원,가입안내,수신동의,로그인",IBWINGO3940_1655877414018,회원 가입 안내
"
안녕하세요. #{수신자명}님
회원 가입을 축하드립니다.

#{수신자명}님의
▶ #{발신 스페이스} ID : #{ID}

#{발신 스페이스}에 가입해주셔서 감사합니다.

▶ 고객센터 : #{고객센터}",회원,회원가입,"회원가입,가입,회원,가입안내,로그인,계정,아이디,가입인사",IBWINGO3940_1655798155394,회원 가입 완료
"
안녕하세요.
회원이 되신 것을 환영하며 이용권이 지급되었습니다.

▶ 회원번호 : #{회원번호}
▶ 등록이용권 : #{등록이용권}
▶ 이용기간 : #{이용기간}

문의사항은 아래 버튼을 클릭해주세요.

※ 이 메시지는 고객님의 동의에 의해 지급된 이용권 안내 메시지입니다.",회원,회원가입,"회원가입,가입,회원,가입안내,로그인,계정,아이디,가입인사,이용권,회원권",IBWINGO3940_1655798192604,회원 가입
"
안녕하세요 #{수신자명} 고객님. #{발신 스페이스}에 가입해주셔서 감사합니다.

가입 설문에 참여해주시면, 고객님의 소중한 의견을 반영하여 더 좋은 서비스를 제공하도록 노력하겠습니다.",회원,회원가입,"회원가입,설문조사,설문,가입안내,가입,설문안내",IBWINGO3940_1655798257328,회원 가입 완료
"
안녕하세요 #{수신자명}님.
#{발신 스페이스} 회원가입 신청이 승인되었습니다.

▶ 회원명 : #{회원명}
▶ 승인일자 : #{승인일자}

아래 버튼을 클릭하여 #{발신 스페이스}의 여러 가지 정보를 확인해보세요.",회원,회원가입,"회원가입,가입,승인,신청,로그인,가입안내",IBWINGO3940_1655798299038,회원 가입 승인 알림
"
#{발신 스페이스} 회원가입 신청이 거절되었습니다.

문의사항은 아래 버튼을 클릭해주세요.",회원,회원가입,"회원가입,가입,신청,거절,거부,가입거절",IBWINGO3940_1655798724543,회원 가입 거절 알림
"
안녕하세요. #{수신자명}님!
#{발신 스페이스} 회원이 되신 것을 진심으로 환영합니다.

회원가입 혜택과 다양한 이벤트를 홈페이지에서 확인해보세요.",회원,회원가입,"회원가입,가입,회원,가입안내,로그인,계정,아이디,가입인사,채널추가",IBWINGO3940_1655798815339,회원 가입 안내
"
안녕하세요 #{수신자명}님.
회원가입이 완료되었습니다.

신규 회원님을 위한 적립금 #{적립금}원을 적립해드렸습니다.

▶ 적립금 : #{적립금}

다양한 혜택과 이벤트를 홈페이지에서 확인해보세요.

※ 이 메시지는 고객님의 동의에 의해 지급된 적립금 안내 메시지입니다.",회원,회원가입,"회원가입,가입,회원,가입안내,로그인,혜택,적립금,가입혜택",IBWINGO3940_1655798863203,회원 가입 안내
"
안녕하세요 #{수신자명}님,
#{발신 스페이스} 회원가입이 완료되었습니다.

반가운 마음을 담아 쿠폰을 발급해드렸어요.
#{발신 스페이스} 멤버가 되신 것을 진심으로 환영합니다.

▶ 쿠폰명 : #{쿠폰명}
▶ 유효기간 : #{유효기간}

아래 버튼을 눌러 쿠폰을 확인해보세요.

※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원가입,"회원가입,쿠폰,쿠폰발급,가입쿠폰,가입,혜택,가입혜택",IBWINGO3940_1655798998165,회원 가입 완료
"
안녕하세요, #{수신자명}고객님.
회원가입을 감사드리며 배송비 무료 쿠폰이 지급되었습니다.
보유한 쿠폰의 사용가능일자를 안내드리니, 쿠폰을 사용해보세요.

▶ 쿠폰명 : #{쿠폰명}
▶ 쿠폰 유효기간 : #{쿠폰 유효기간}
▶ 쿠폰 사용방법 : #{쿠폰 사용방법}

※ 쿠폰 유효기간이 지나면 사용이 불가합니다.
※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원정보/회원혜택,"회원가입,회원정보,가입,신규가입,신규,가입혜택,신규혜택,쿠폰,발급,쿠폰발급,쿠폰안내,배송비,배송,배송무료",IBWINGO3940_1655973299144,무료배송 쿠폰 발급 안내
"
안녕하세요, #{수신자명}고객님.
첫 구매를 완료해주신 고객님께 구매 감사 쿠폰이 지급되었습니다.
지급된 쿠폰의 유효기간 및 사용 방법 안내드립니다.

▶ 쿠폰명 : #{쿠폰명}
▶ 쿠폰 유효기간 : #{쿠폰 유효기간}
▶ 쿠폰 사용방법 : #{쿠폰 사용방법}

※ 쿠폰 유효기간이 지나면 사용이 불가합니다.
※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원정보/회원혜택,"구매감사,감사,구매,쿠폰,발급,쿠폰발급,쿠폰안내,배송비,배송,배송무료",IBWINGO3940_1655973504662,구매 감사 쿠폰 발급 안내
"
결제수단이 등록되었습니다.

▶ 회원명 : #{회원명}
▶ 등록 결제수단 : #{등록 결제수단}

본인이 아니시면 #{고객센터번호}로 문의해 주세요.",회원,회원정보/회원혜택,"결제,결제수단,등록,결제등록,카드등록,신용카드,카드,결제방법",IBWINGO3940_1655973696110,결제 수단 등록
"
안녕하세요. #{수신자명} 고객님,
#{발신 스페이스} 회원이 되신 것을 진심으로 환영합니다.

회원가입 혜택으로 지금 #{상품} 구매 시 할인된 가격으로 구매하실 수 있습니다.

※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",회원,회원정보/회원혜택,"회원정보,회원혜택,혜택,선물,이벤트,가입혜택,환영인사",IBWINGO3940_1650507513114,회원가입
"
안녕하세요 #{수신자명} 고객님,
고객님의 #{월}월 등급이 #{등급}으로 상향되었습니다!

지금 바로 등급 혜택을 확인해 보세요!

고객센터 : #{고객센터}

※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",회원,회원정보/회원혜택,"회원정보,회원등급,등급,회원혜택,혜택,혜택안내,고객,등업,회원",IBWINGO3940_1650507474456,등급 혜택 안내
"
안녕하세요 #{수신자명}님,
회원 등급이 업데이트되어 안내드립니다.

▶회원등급: #{회원등급}

등급별로 다양한 회원 혜택을 확인해 보세요.

※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",회원,회원정보/회원혜택,"회원정보,회원등급,등급,등급변경,회원혜택,혜택,고객,회원,등업",IBWINGO3940_1650507443043,등급 안내
"
안녕하세요 #{수신자명}님,
회원가입이 완료되었습니다.
#{발신 스페이스}에서 회원가입 혜택을 안내드립니다.

▶ 혜택 : #{혜택}
▶ 유효기간 : #{유효기간}

※ 이 메시지는 고객님의 동의에 의해 지급된 혜택 안내 메시지입니다.",회원,인증/비밀번호/로그인,"회원가입,회원혜택,혜택안내,혜택,회원가입혜택",IBWINGO3940_1650507222259,회원혜택안내
"
안녕하세요 #{수신자명}님,
#{수신자명}님께서 신청하신 #{서비스} 혜택이 도착했습니다.
아래 버튼을 눌러 혜택 확인을 해주세요!

※ 이 메시지는 고객님의 동의에 의해 발송되는 혜택 안내 메시지입니다.",회원,회원정보/회원혜택,"회원,회원혜택,혜택,혜택안내",IBWINGO3940_1650507167782,혜택 안내
"
#{수신자명}님, 환영합니다!
회원가입이 완료되었습니다.

신규 가입 시,
지급되는 쿠폰 내역을 알려드립니다.

▶쿠폰명: #{쿠폰명}
▶유효기간: #{유효기간}
※유의사항: 쿠폰 사용 방법을 반드시 확인해 주세요.

회원가입을 해주셔서 감사합니다.
많은 이용 부탁드립니다.

※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원가입,"가입,회원가입,회원혜택,쿠폰,쿠폰안내",IBWINGO3940_1650351421061,회원 가입 감사 메시지
"
안녕하세요. #{수신자명} 고객님,
#{발신 스페이스} 회원이 되신 것을 진심으로 환영합니다.

▶가입 아이디 : #{가입 아이디}

고객님을 위한 다양한 상품들이 준비되어 있으니, 앞으로 많은 관심 부탁드립니다.",회원,회원가입,"회원가입,회원정보,회원,고객,계정,가입,로그인,가입알림,회원안내",IBWINGO3940_1643015267916,회원가입
"
안녕하세요. #{수신자명} 고객님,
#{발신 스페이스} 회원이 되신 것을 진심으로 환영합니다.

회원가입 혜택과 다양한 이벤트를 홈페이지에서 확인해 보세요.",회원,회원정보/회원혜택,"회원가입,회원,회원혜택,혜택,가입,이벤트,가입알림,회원안내,혜택안내",IBWINGO3940_1642750562500,회원가입
"
안녕하세요 #{수신자명} 고객님,
#{발신 스페이스} 회원가입 및 SNS 수신 동의에 감사드립니다.

※ 수신 동의 취소는 홈페이지에서 진행하실 수 있습니다.

감사합니다.",회원,회원가입,"회원가입,회원,수신동의,가입,회원정보,가입알림,회원안내,회원정보",IBWINGO3940_1642750597339,회원가입 완료 안내
"
안녕하세요 #{수신자명} 고객님,
#{발신 스페이스} 입니다.
요청하신 수신거부 관련 처리 결과를 안내드립니다.

▶처리 날짜: #{처리 날짜}
▶처리 내용: #{처리 내용}

감사합니다.",회원,인증/비밀번호/로그인,"수신거부,회원정보,회원,계정,개인정보,",IBWINGO3940_1642750626753,수신 거부 처리 완료
"
안녕하세요 #{수신자명} 고객님,
임시 비밀번호가 발급되었습니다.

▶아이디: #{아이디}
▶임시 비밀번호: #{임시 비밀번호}

로그인 후, 새로운 비밀번호로 변경해 주시기 바랍니다.
감사합니다.",회원,인증/비밀번호/로그인,"계정,아이디,비밀번호,회원정보,회원,임시,로그인,이증,계정안내",IBWINGO3940_1642750654850,임시 비빌번호 발급
"
#{수신자명}님, 인증번호 [#{인증번호}]를 입력하시고 본인확인을 완료해 주시기 바랍니다.

▶요청 매장 : #{요청 매장}

※ 인증번호가 타인에게 노출되지 않도록 주의해 주시기 바랍니다.
※ 본인이 요청한 작업이 아니라면 상담원에게 메시지를 남겨주시기 바랍니다.",회원,인증/비밀번호/로그인,"비밀번호,인증번호,본인확인,본인인증,입장,QR코드,로그인,인증,입장확인",IBWINGO3940_1642750686641,인증번호 안내
"
안녕하세요 #{수신자명} 고객님,
아래와 같이 고객님의 비밀번호가 변경되었음을 안내드립니다.

▶아이디 : #{아이디}
▶비밀번호 : #{비밀번호}

※ 해당 개인 정보가 유출되지 않도록 주의 부탁드립니다.

감사합니다.",회원,인증/비밀번호/로그인,"비밀번호,비밀번호변경,아이디,회원정보,인증,로그인,계정,본인인증",IBWINGO3940_1642750772346,변경 비밀번호 안내
"
#{수신자명} 고객님, #{월}월 우수고객으로 선정되셨네요.

감사의 의미로 우수고객 회원님들께만 발급된 혜택 안내드립니다.

▶혜택 : #{혜택}
▶사용 기한 : #{사용 기한}

놓치지 말고 혜택을 누리세요.",회원,회원정보/회원혜택,"고객,회원등급,등급,회원혜택,혜택,회원정보,고객혜택,등급혜택",IBWINGO3940_1642750905896,우수고객 선정 알림
"
안녕하세요 #{수신자명}님.
고객님의 회원정보가 변경되어 안내드립니다.

▶이전 회원정보: #{이전 회원정보}
▶변경된 회원정보: #{변경된 회원정보}

회원정보를 확인하시고 본인이 변경하지 않았다면 문의 부탁드립니다.",회원,회원정보/회원혜택,"회원정보,변경,정보변경,인증,본인확인,계정,본인인증",IBWINGO3940_1642751030321,회원정보 변경 안내
"
안녕하세요.
#{수신자명} 회원님의 가입을 진심으로 축하드립니다.

▶성함: #{성함}
▶아이디: #{아이디}

※ 유의사항 : #{유의사항}",회원,회원가입,"회원가입,회원정보,회원,고객,계정,가입",IBWINGO3940_1643015281230,회원 가입 안내
"
#{수신자명}님의 인증번호는 #{인증번호}입니다.
본인 확인을 위해 인증번호를 화면에 입력해 주세요.

▶ 고객센터 안내
#{고객센터 전화번호} (평일 및 토요일 오전 9시 ~ 오후 6시)",회원,인증/비밀번호/로그인,"본인확인,본인인증,인증,인증번호,비밀번호",IBWINGO202_1638770286662,본인 인증
"
인증코드 : #{인증코드}

회원가입 페이지에 해당 코드를 입력하여 인증을 진행해주세요.",회원,인증/비밀번호/로그인,"본인확인,본인인증,인증,인증코드,인증안내",IBWINGO202_1638770327109,본인 인증
"
안녕하세요 #{수신자명}님,
인증이 정상적으로 처리 되었습니다.
감사합니다.",회원,인증/비밀번호/로그인,"인증안내,본인인증,인증,본인인증완료,인증완료안내",IBWINGO202_1638770390583,인증안내
"
안녕하세요 #{수신자명}님,
탈퇴 처리가 완료되었습니다.
지금까지 저희 #{발신 스페이스}을 이용해주셔서 감사합니다.",회원,인증/비밀번호/로그인,"회원탈퇴,탈퇴,탈퇴완료,계정,계정삭제",IBWINGO202_1638770424573,회원 탈퇴 완료
"
안녕하세요 #{수신자명}님, 
고객정보 변경이 정상적으로 완료되었습니다.
변경내용을 다시 한 번 확인하시고 오늘도 즐거운 하루 되세요.

감사합니다.",회원,회원정보/회원혜택,"회원정보,정보수정,정보변경,정보수정완료,회원정보안내",IBWINGO202_1638780149082,정보 수정 완료 안내
"
인증 비빌번호 Key : #{인증Key}",회원,인증/비밀번호/로그인,"인증안내,본인인증,인증,비밀번호,인증비밀번호",IBWINGO202_1638780195504,본인인증
"
안녕하세요 #{수신자명}님,
고객님의 예약 정보를 안내해드립니다.

▶ 예약자명: #{예약자명}
▶ 예약일시: #{예약일시}
▶ 관련문의: #{관련문의}
▶ 주소: #{주소}

변경사항이 있으신 경우 24시간 전까지 연락 부탁드리며, 
예약시간에 늦지 않게 방문 부탁드립니다.

감사합니다.",예약,예약완료/예약내역,"예약,예약안내,예약정보,안내,예약알림",IBWINGO3940_1656053946193,예약 안내
"
#{수신자명} 회원님이 신청하신 #{서비스} 접수가 완료되어 일정 및 참여 방법 안내드립니다.

▶ 참여자 : #{참여자}
▶ 일정 : #{일정}
▶ 참여 방법 : #{참여 방법}

참여 방법에 대한 자세한 내용은 홈페이지에서 확인해주세요.",예약,예약완료/예약내역,"교육,접수,일정,신청,수업,강의,예약",IBWINGO3940_1656220830828,접수 완료 안내
"
안녕하세요 #{수신자명}님,
#{수신자명}님의 예약이 취소되었습니다.

▶ 예약명 : #{예약명}
▶ 취소된 예약 일시 : #{예약 일시}

편하신 시간에 연락 주시면 예약 도와드리겠습니다.
감사합니다.",예약,예약취소,"예약,예약취소,일정취소,취소안내,예약취소안내,취소알림",IBWINGO3940_1656219580641,예약 취소
"
#{발신 스페이스} 설명회 예약이 완료되어 일정을 안내해 드립니다.

▶ 일시 : #{일시}
▶ 준비물 : #{준비물}
▶ 상세 내용 : #{상세 내용}

준비물 및 상세 내용을 확인하시고 참석해주세요.
문의사항이 있으신 경우 홈페이지에 문의해주세요.",예약,예약완료/예약내역,"입학,설명회,학교,예약,입시,입사,회사,행사,오티,오리엔테이션",IBWINGO3940_1656220758074,설명회 예약 완료
"
안녕하세요 #{발신 스페이스}입니다.
#{수신자명}님 예약 일정이 변경 되어 안내해 드립니다.
변경된 일정을 확인하시고 착오 없으시기 바랍니다.

<예약 시간 안내>
▶ 변경 전 예약 시간 : #{변경 전 예약 시간}
▶ 변경 된 예약 시간 : #{변경 된 예약 시간}

예약 시간을 변경하시고 싶으신 경우에는 고객센터 또는 홈페이지에 문의 부탁드립니다.
감사합니다.",예약,예약상태,"스케줄,변동,스케줄변동,예약변동,예약",IBWINGO3940_1656219614591,스케줄 변동 알림
"
#{수신자명}님, 안녕하세요 #{발신 스페이스}입니다.
참여해 주신 체험단에 선정되어 안내해 드립니다.

▶ 체험 일정 : #{체험 일정}
▶ 체험 내용 : #{체험 내용}

체험 일정과 내용을 확인하시고, 즐거운 시간 되시길 바랍니다.

체험 후 만족스러우셨으면, 홈페이지에 후기를 남겨주세요.
감사합니다.",예약,예약완료/예약내역,"신청,체험,예약,예약완료,예약안내,방문,방문체험",IBWINGO3940_1656220896747,체험 신청 완료
"
#{수신자명}님 안녕하세요
현재 고객님의 아래 주문 건의 결제가 진행되지 않아 '연체 대기' 상태가 되었습니다.

▶ 주문번호 : #{주문번호}
▶ 상품명 : #{상품명}
▶ 결제금액 : #{결제금액}원
▶ 결제 기한일 : #{결제 기한일}

결제 기한이 마감될 때까지 결제가 완료되지 않을 경우, '연체' 상태로 변경되오니 결제 기한일까지 확인 부탁드립니다.",예약,예약상태,"연체,요금,결제,미납,주문,구매,납부,연체알림,납부알림",IBWINGO3940_1656220921731,연체 대기
"
안녕하세요 #{수신자명}고객님.
상담이 정상적으로 신청되었으며, 문의주셨던 상담에 만족할 수 있도록 항상 최선을 다하겠습니다.

▶ 상담 일정 : #{상담 일정}
▶ 상담사 : #{상담사}
▶ 문의 내용 : #{문의 내용}

추가 궁금하신 문의사항은 대표번호로 연락 주시거나 홈페이지를 통해 문의 내용 남겨주시면 최대한 빠르게 답변드리겠습니다.

감사합니다.",예약,예약상태,"예약,상담,예약확인,예약정보,예약안내,예약알림",IBWINGO3940_1656220947836,상담 예약 안내
"
#{수신자명}님. #{발신 스페이스}입니다.
예약일 #{일자}에 미내원이십니다.
문의 후 내원 부탁드립니다.

▶ 예약 문의 : #{예약 문의}
▶ 오시는 길 : #{오시는 길}

감사합니다.
- #{발신 스페이스} -",예약,예약상태,"병원,내원,미내원,예약,알림,예약취소",IBWINGO3940_1656221020780,미내원 안내
"
안녕하세요 #{수신자명}님,
변경된 예약 정보 안내해 드립니다.

▶ 예약자 : #{예약자}
▶ 이전 예약일 : #{이전 예약일}
▶ 예약 변경일시 : #{예약 변경일시}

예약 취소 또는 변경사항이 있으실 경우 아래의 번호로 연락 부탁드립니다.

▶ 문의 : #{문의}",예약,예약상태,"예약,변경,예약변경,예약안내,예약취소,취소",IBWINGO3940_1656221076935,예약 변경
"
안녕하세요. #{수신자명} 고객님.
신청하신 상담의 상담원이 배정되었습니다.
상담원 변경을 원하실 경우, 고객센터로 연락 부탁드립니다.

- 고객센터 : #{고객센터}

<배정 상담원 안내>
▶ 상담원 : #{상담원}
▶ 전화번호 : #{전화번호}

고객님의 상담을 위하여 빠른 시일 내에 전화 드릴 예정입니다.
감사합니다.",예약,예약상태,"예약,배정,상담,상담원,전화상담,담당",IBWINGO3940_1656224147368,상담원 배정 안내
"
안녕하세요 #{수신자명}님,
#{예약일} 은 고객님 예약일입니다.
예약시간 변경 시 미리 연락주시기 바랍니다.

감사합니다.",예약,예약알림/리마인드,"예약,알림,예약알림,예약일,예약확인",IBWINGO3940_1656053464609,예약 알림
"
안녕하세요. #{수신자명}님,
#{발신 스페이스}에 문의 주셔서 감사합니다.
관심있는 부분을 좀 더 자세히 알 수 있도록 도와드리겠습니다.
상담 예약 일정을 안내드리니, 확인 부탁드립니다.

▶ 예약자 : #{예약자}
▶ 예약시간 : #{예약시간}

예약일에 만나 뵙겠습니다.
감사합니다.",예약,예약완료/예약내역,"상담일정,상담,예약,상담예약,방문,방문상담,예약일정",IBWINGO3940_1655975604303,상담 예약 안내
"
#{수신자명}님의 영상상담이 예약되었습니다.
아래 예약 정보를 확인해주세요.

▶ 예약자명 : #{예약자명}
▶ 상담일시 : #{상담일시}
▶ 전화번호 : #{전화번호}

예약된 시간에 맞춰 상담에 참여해주시기 바랍니다.
감사합니다.",예약,예약완료/예약내역,"상담,영상상담,화상,회의,상담예약,예약안내,예약완료",IBWINGO3940_1655976704547,영상상담 예약안내
"
#{수신자명}님의 전화상담이 예약되었습니다.
아래 예약 정보를 확인해주세요.

▶ 예약자명 : #{예약자명}
▶ 상담일시 : #{상담일시}
▶ 전화번호 : #{전화번호}

상담일시에 #{상담번호} 번호로 상담 진행해주세요.
감사합니다.",예약,예약완료/예약내역,"상담,전화상담,유선,회의,상담예약,예약안내,예약완료",IBWINGO3940_1655976746753,전화상담 예약안내
